Cost_Record_ID,Date,Mess_Hall_ID,Menu_Item,Primary_Ingredient,Ingredient_Quantity_kg,Market_Price_Per_Kg_INR,Total_Ingredient_Cost_INR,Labour_Cost_INR,Fuel_Cost_INR,Total_Cost_INR,Waste_Cost_INR,Supplier_ID,Price_Spike_Flag,Procurement_Method,Batch_Quality_Grade
CR-20220209-MH_A-JAIN,"February 09, 2022",MH_A,Jain Sabzi,Mixed Vegetables,25.9,37.25,964.77,208.77,50.92,1224.46,412.84,V01,False,Spot_Market,B
CR-20220209-MH_A-RAJM,2022-02-09,MH_A,Rajma Rice,Rajma,31.98,146.82,4695.3,,298.67,4993.97,1617.15,V03,False,Spot_Market,B
CR-20220209-MH_A-EGG,2022-02-09,MH_A,Egg Bhurji,Egg,35.36,9.15,323.54,774.15,59.76,1157.45,277.79,V08,False,Contract,
CR-20220209-MH_A-HALW,"February 09, 2022",MH_A,Halwa,Semolina,79.16,61.54,4871.51,572.32,,5443.83,783.66,V05,False,Contract,C
CR-20220209-MH_B-JAIN,09/02/2022,MH_B,Jain Dal,Dal,42.91,136.04,5837.48,208.83,137.64,6183.95,1267.0,V06,False,Contract,B
CR-20220209-MH_B-MUTT,"February 09, 2022",MH_B,Mutton Curry,Mutton,13.19,518.54,6839.54,,165.23,7004.77,2288.87,V05,False,Contract,A
CR-20220209-MH_B-COFF,"February 09, 2022",MH_B,Coffee,Coffee Beans,1.67,406.65,679.11,545.8,,1224.91,136.51,V03,False,Spot_Market,A
CR-20220209-MH_B-BHEL,"February 09, 2022",MH_B,Bhel Puri,Puffed Rice,54.9,44.67,2452.38,428.73,256.09,3137.2,1007.84,V02,False,Spot_Market,A
CR-20220209-MH_G-COFF,2022-02-09,MH_G,Coffee,Coffee Beans,3.77,537.05,2024.68,,155.42,2180.1,669.92,V01,False,Contract,B
CR-20220209-MH_G-BREA,"February 09, 2022",MH_G,Bread-Omelette,Egg,39.92,10.44,416.76,,,416.76,60.3,V11,False,Spot_Market,B
CR-20220209-MH_G-VEGE,"February 09, 2022",MH_G,Vegetable Soup,Mixed Vegetables,10.96,36.21,396.86,521.74,291.29,1209.89,256.86,V02,False,Direct_Farm,
CR-20220209-MH_G-PALA,2022-02-09,MH_G,Palak Paneer,Paneer,43.28,396.31,17152.3,296.56,192.93,8576.15,5428.78,V02,False,Spot_Market,B
CR-20220210-MH_A-RAJM,10/02/2022,MH_A,Rajma Rice,Rajma,19.8,128.87,2551.63,445.33,142.97,3139.93,889.86,V04,False,Contract,A
CR-20220210-MH_A-TEA,2022-02-10,MH_A,Tea,Tea Leaves,2.19,259.23,567.71,,88.61,656.32,139.2,V11,False,Contract,B
CR-20220210-MH_A-DAL,"February 10, 2022",MH_A,Dal Tadka,Dal,68.7,121.95,8377.97,328.11,268.96,8975.04,1481.0,V09,False,Contract,B
CR-20220210-MH_A-COFF,10/02/2022,MH_A,Coffee,Coffee Beans,4.72,512.21,2417.63,532.84,,2950.47,858.38,V02,False,Contract,C
CR-20220210-MH_B-ALOO,10/02/2022,MH_B,Aloo Dum,Potato,20.67,17.9,369.99,266.57,241.83,878.39,287.87,V02,False,Contract,A
CR-20220210-MH_B-SAMB,2022-02-10,MH_B,Sambar Rice,Lentil,53.87,123.78,6668.03,746.86,271.19,7686.08,987.58,V08,False,Spot_Market,B
CR-20220210-MH_B-KEEM,2022-02-10,MH_B,Keema Matar,Mutton,7.45,550.97,4104.73,,235.73,4340.46,1414.66,V05,False,Spot_Market,
CR-20220210-MH_B-UPMA,2022-02-10,MH_B,Upma,Semolina,36.96,68.96,2548.76,,169.38,2718.14,588.1,V05,False,Spot_Market,A
CR-20220210-MH_G-SAMB,10/02/2022,MH_G,Sambar Rice,Lentil,31.49,117.28,3693.15,,212.37,3905.52,851.52,V07,False,Spot_Market,A
CR-20220210-MH_G-ALOO,10/02/2022,MH_G,Aloo Gobi,Potato,76.82,47.67,3662.01,623.93,53.76,4339.7,1326.72,V07,False,Contract,A
CR-20220210-MH_G-BREA,2022-02-10,MH_G,Bread-Butter,Bread,71.02,81.67,5800.2,429.13,54.42,6283.75,2178.96,V03,False,Spot_Market,A
CR-20220210-MH_G-BAIN,10/02/2022,MH_G,Baingan Bharta,Brinjal,33.21,46.92,1558.21,239.35,108.14,1905.7,370.08,V02,False,Spot_Market,
CR-20220211-MH_A-PANE,2022-02-11,MH_A,Paneer Curry,Paneer,79.96,403.63,32274.25,321.18,,32595.43,11192.03,V06,False,Contract,B
CR-20220211-MH_A-KHIC,2022-02-11,MH_A,Khichdi,Rice,71.16,71.91,,317.38,132.11,5566.61,1159.91,V08,False,Spot_Market,B
CR-20220211-MH_A-JAIN,2022-02-11,MH_A,Jain Sabzi,Mixed Vegetables,56.83,78.14,4440.7,581.27,,5021.97,1261.13,V07,False,Spot_Market,A
CR-20220211-MH_A-CHIC,2022-02-11,MH_A,Chicken Masala,Chicken,12.43,218.8,2719.68,692.21,195.63,3607.52,1090.61,V02,False,Spot_Market,A
CR-20220211-MH_A-RAVA,"February 11, 2022",MH_A,Rava Idli,Semolina,43.61,45.85,1999.52,748.29,64.37,2812.18,896.99,V04,False,Contract,
CR-20220211-MH_B-EGG,2022-02-11,MH_B,Egg Curry,Egg,48.19,7.0,337.33,526.0,,863.33,242.85,V03,False,Contract,C
CR-20220211-MH_B-ALOO,2022-02-11,MH_B,Aloo Paratha,Potato,58.41,40.78,2381.96,796.62,,3178.58,750.42,V03,False,Contract,B
CR-20220211-MH_B-BHEL,2022-02-11,MH_B,Bhel Puri,Puffed Rice,12.66,54.72,692.76,628.15,82.47,1403.38,337.9,V04,False,Contract,B
CR-20220211-MH_B-RAJM,11/02/2022,MH_B,Rajma Rice,Rajma,78.88,166.6,13141.41,343.08,,13484.49,3428.12,V09,False,Spot_Market,C
CR-20220211-MH_B-ALOO,"February 11, 2022",MH_B,Aloo Dum,Potato,25.77,30.95,797.58,,,797.58,160.14,V09,False,Spot_Market,A
CR-20220211-MH_G-SAMO,2022-02-11,MH_G,Samosa,Potato,70.91,16.95,1201.92,,,1201.92,149.69,V04,False,Spot_Market,B
CR-20220211-MH_G-BHEL,11/02/2022,MH_G,Bhel Puri,Puffed Rice,52.22,52.93,2764.0,341.05,211.79,3316.84,823.9,V06,False,Spot_Market,A
CR-20220211-MH_G-KEEM,2022-02-11,MH_G,Keema Matar,Mutton,24.39,528.96,12901.33,786.1,249.62,13937.05,1721.13,V10,False,Contract,C
CR-20220211-MH_G-BOIL,2022-02-11,MH_G,Boiled Eggs,Egg,48.94,10.28,503.1,647.17,109.59,1259.86,320.15,V03,False,Contract,A
CR-20220211-MH_G-JAIN,2022-02-11,MH_G,Jain Dal,Dal,37.82,132.02,4993.0,726.27,294.64,6013.91,856.55,V08,False,Contract,A
CR-20220212-MH_A-EGG,"February 12, 2022",MH_A,Egg Curry,Egg,67.33,7.63,513.73,668.5,259.88,1442.11,215.91,V01,False,Contract,B
CR-20220212-MH_A-PURI,2022-02-12,MH_A,Puri-Sabzi,Wheat,14.24,62.12,884.59,,,884.59,255.49,V06,False,Contract,A
CR-20220212-MH_A-PALA,"February 12, 2022",MH_A,Palak Paneer,Paneer,58.18,310.88,18087.0,500.68,115.58,18703.26,3094.08,V09,False,Contract,C
CR-20220212-MH_A-GULA,2022-02-12,MH_A,Gulab Jamun,Milk,75.87,74.46,5649.28,308.42,99.37,6057.07,1028.07,V03,False,Contract,
CR-20220212-MH_A-BREA,2022-02-12,MH_A,Bread-Omelette,Egg,22.28,8.63,192.28,454.95,,647.23,135.99,V07,False,Contract,A
CR-20220212-MH_A-VEGE,2022-02-12,MH_A,Vegetable Soup,Mixed Vegetables,68.33,78.58,5369.37,433.18,59.69,5862.24,1692.17,V11,False,Contract,B
CR-20220212-MH_B-BREA,12/02/2022,MH_B,Bread-Butter,Bread,21.8,0.0,1682.74,261.07,79.53,2023.34,666.93,V02,False,Contract,B
CR-20220212-MH_B-MUTT,"February 12, 2022",MH_B,Mutton Curry,Mutton,22.0,531.45,11691.9,,94.67,11786.57,3622.69,V10,False,Spot_Market,A
CR-20220212-MH_B-JAIN,12/02/2022,MH_B,Jain Sabzi,Mixed Vegetables,53.61,58.66,3144.76,562.51,297.26,4004.53,1271.22,V04,False,Spot_Market,A
CR-20220212-MH_B-BREA,12/02/2022,MH_B,Bread-Omelette,Egg,51.9,11.71,607.75,762.5,133.17,1503.42,200.42,V07,False,Spot_Market,B
CR-20220212-MH_B-POHA,2022-02-12,MH_B,Poha,Flattened Rice,28.37,56.76,1610.28,622.55,265.31,2498.14,290.24,V08,False,Spot_Market,C
CR-20220212-MH_B-CHIC,"February 12, 2022",MH_B,Chicken Soup,Chicken,16.66,239.45,3989.24,,169.09,4158.33,1400.1,V10,False,Contract,
CR-20220212-MH_G-ALOO,12/02/2022,MH_G,Aloo Dum,Potato,40.35,30.53,1231.89,351.23,219.45,1802.57,329.51,V12,False,Spot_Market,C
CR-20220212-MH_G-SAMB,2022-02-12,MH_G,Sambar Rice,Lentil,62.42,110.99,6928.0,566.16,139.73,7633.89,1497.04,V09,False,Spot_Market,A
CR-20220212-MH_G-KHIC,12/02/2022,MH_G,Khichdi,Rice,69.71,97.23,6777.9,562.84,219.97,7560.71,1605.78,V08,False,Spot_Market,C
CR-20220212-MH_G-BREA,12/02/2022,MH_G,Bread-Butter,Bread,31.54,68.39,2157.02,296.88,270.22,2724.12,903.37,V02,False,Contract,B
CR-20220212-MH_G-VEGE,12/02/2022,MH_G,Vegetable Soup,Mixed Vegetables,30.25,74.98,2268.14,453.27,,2721.41,437.77,V05,False,Contract,B
CR-20220212-MH_G-CHIC,"February 12, 2022",MH_G,Chicken Biryani,Chicken,27.16,279.36,7587.42,568.29,140.33,8296.04,1109.09,V12,False,Spot_Market,B
CR-20220213-MH_A-EGG,2022-02-13,MH_A,Egg Curry,Egg,49.18,7.88,387.54,,242.13,629.67,151.09,V05,False,Contract,A
CR-20220213-MH_A-GULA,"February 13, 2022",MH_A,Gulab Jamun,Milk,21.99,65.14,1432.43,,,1432.43,357.19,V10,False,Contract,C
CR-20220213-MH_A-BAIN,"February 13, 2022",MH_A,Baingan Bharta,Brinjal,28.41,22.66,643.77,285.71,,929.48,94.93,V06,False,Direct_Farm,A
CR-20220213-MH_A-CHIC,13/02/2022,MH_A,Chicken Biryani,Chicken,26.59,280.38,7455.3,,96.61,7551.91,1757.89,V01,False,Direct_Farm,B
CR-20220213-MH_B-SAMB,"February 13, 2022",MH_B,Sambar Rice,Lentil,52.53,116.15,6101.36,,203.07,6304.43,2037.52,V10,False,Spot_Market,A
CR-20220213-MH_B-DAL,2022-02-13,MH_B,Dal Tadka,Dal,68.63,125.07,8583.55,545.66,249.13,9378.34,1036.12,V11,False,Direct_Farm,A
CR-20220213-MH_B-CHAN,2022-02-13,MH_B,Chana Masala,Chickpea,62.46,102.58,6407.15,686.56,239.87,7333.58,2426.87,V10,False,Contract,C
CR-20220213-MH_B-IDLI,2022-02-13,MH_B,Idli-Sambar,Rice,55.51,90.55,,599.47,,5625.9,714.14,V12,False,Spot_Market,B
CR-20220213-MH_G-TEA,13/02/2022,MH_G,Tea,Tea Leaves,4.7,322.72,1516.78,470.3,268.18,2255.26,538.18,V02,False,Spot_Market,
CR-20220213-MH_G-JAIN,2022-02-13,MH_G,Jain Sabzi,Mixed Vegetables,30.91,63.99,1977.93,,223.95,2201.88,335.7,V09,False,Contract,A
CR-20220213-MH_G-RAJM,2022-02-13,MH_G,Rajma Rice,Rajma,13.43,131.03,1759.73,,252.38,2012.11,223.37,V02,False,Direct_Farm,A
CR-20220213-MH_G-MUTT,2022-02-13,MH_G,Mutton Curry,Mutton,6.7,624.25,4182.48,437.21,,4619.69,1092.73,V08,False,Direct_Farm,
CR-20220214-MH_A-BHEL,2022-02-14,MH_A,Bhel Puri,Puffed Rice,69.45,65.93,4578.84,313.66,95.94,4988.44,664.73,V10,False,Contract,A
CR-20220214-MH_A-PURI,2022-02-14,MH_A,Puri-Sabzi,Wheat,24.0,33.06,793.44,313.12,200.41,1306.97,239.95,V10,False,Contract,
CR-20220214-MH_A-ALOO,2022-02-14,MH_A,Aloo Gobi,Potato,31.82,46.21,1470.4,,152.28,1622.68,441.04,V10,False,Direct_Farm,A
CR-20220214-MH_A-ALOO,14/02/2022,MH_A,Aloo Dum,Potato,19.16,17.97,344.31,794.35,141.93,1280.59,255.92,V10,False,Contract,C
CR-20220214-MH_B-PURI,"February 14, 2022",MH_B,Puri-Sabzi,Wheat,8.37,53.21,445.37,750.88,255.09,1451.34,507.48,V10,False,Contract,A
CR-20220214-MH_B-CHOL,2022-02-14,MH_B,Chole Bhature,Chickpea,22.57,87.01,1963.82,,,1963.82,652.35,V11,False,Contract,A
CR-20220214-MH_B-KHIC,2022-02-14,MH_B,Khichdi,Rice,58.89,96.64,5691.13,320.1,78.28,6089.51,1793.16,V03,False,Contract,
CR-20220214-MH_B-UPMA,14/02/2022,MH_B,Upma,Semolina,59.21,70.25,4159.5,788.24,252.49,5200.23,727.24,V09,False,Contract,A
CR-20220214-MH_G-BAIN,2022-02-14,MH_G,Baingan Bharta,Brinjal,64.28,53.12,3414.55,482.55,268.25,4165.35,798.61,V06,False,Direct_Farm,A
CR-20220214-MH_G-BREA,"February 14, 2022",MH_G,Bread-Omelette,Egg,33.97,6.49,220.47,731.83,,952.3,225.23,V01,False,Spot_Market,
CR-20220214-MH_G-JAIN,2022-02-14,MH_G,Jain Dal,Dal,31.01,117.35,3639.02,,227.44,3866.46,1299.41,V04,False,Contract,
CR-20220214-MH_G-KHIC,2022-02-14,MH_G,Khichdi,Rice,72.43,95.64,6927.21,639.88,72.4,7639.49,2091.55,V10,False,Direct_Farm,
CR-20220215-MH_A-JAIN,"February 15, 2022",MH_A,Jain Dal,Dal,69.49,129.53,9001.04,,168.7,9169.74,2906.46,V03,False,Contract,
CR-20220215-MH_A-ALOO,2022-02-15,MH_A,Aloo Gobi,Potato,62.59,23.35,1461.48,452.02,192.93,2106.43,220.33,V10,False,Direct_Farm,B
CR-20220215-MH_B-ROTI,15/02/2022,MH_B,Roti-Sabzi,Wheat,69.82,40.98,2861.22,441.86,62.14,3365.22,842.26,V06,False,Spot_Market,A
CR-20220215-MH_B-SAMO,"February 15, 2022",MH_B,Samosa,Potato,19.79,29.47,583.21,,179.11,762.32,246.14,V05,False,Contract,A
CR-20220215-MH_G-ALOO,15/02/2022,MH_G,Aloo Dum,Potato,64.42,43.68,2813.87,,137.19,2951.06,514.04,V03,False,Contract,A
CR-20220215-MH_G-JAIN,"February 15, 2022",MH_G,Jain Dal,Dal,29.99,117.65,3528.32,,187.4,3715.72,1256.15,V08,False,Spot_Market,B
CR-20220216-MH_A-ROTI,2022-02-16,MH_A,Roti-Sabzi,Wheat,13.71,42.82,587.06,489.43,145.52,1222.01,275.15,V02,False,Spot_Market,A
CR-20220216-MH_A-KHEE,2022-02-16,MH_A,Kheer,Milk,67.1,54.59,3662.99,631.46,,4294.45,631.99,V08,False,Contract,C
CR-20220216-MH_A-IDLI,16/02/2022,MH_A,Idli-Sambar,Rice,40.37,106.59,4303.04,487.35,,4790.39,1640.59,V04,False,Spot_Market,A
CR-20220216-MH_B-EGG,2022-02-16,MH_B,Egg Bhurji,Egg,32.16,8.84,284.29,,265.28,549.57,153.33,V02,False,Contract,
CR-20220216-MH_B-HALW,16/02/2022,MH_B,Halwa,Semolina,45.29,65.1,2948.38,701.97,,3650.35,744.85,V03,False,Contract,B
CR-20220216-MH_B-POHA,16/02/2022,MH_B,Poha,Flattened Rice,64.38,85.56,5508.35,601.72,205.0,6315.07,1173.89,V05,False,Contract,A
CR-20220216-MH_G-ALOO,2022-02-16,MH_G,Aloo Dum,Potato,72.1,18.32,1320.87,,104.24,1425.11,392.42,V07,False,Contract,B
CR-20220216-MH_G-RAVA,2022-02-16,MH_G,Rava Idli,Semolina,36.76,47.93,1761.91,,206.9,1968.81,504.46,V05,False,Spot_Market,
CR-20220216-MH_G-CORN,16/02/2022,MH_G,Cornflakes,Maize,41.91,32.56,1364.59,425.2,83.3,1873.09,585.82,V06,False,Spot_Market,C
CR-20220217-MH_A-FISH,2022-02-17,MH_A,Fish Fry,Fish,27.5,393.13,10811.08,317.39,263.64,11392.11,3083.03,V11,False,Contract,A
CR-20220217-MH_A-COFF,2022-02-17,MH_A,Coffee,Coffee Beans,3.02,442.95,1337.71,,280.54,1618.25,536.79,V04,False,Contract,A
CR-20220217-MH_A-IDLI,2022-02-17,MH_A,Idli-Sambar,Rice,5.02,78.0,391.56,490.85,109.92,992.33,321.79,V06,False,Spot_Market,C
CR-20220217-MH_A-SAMB,2022-02-17,MH_A,Sambar Rice,Lentil,16.92,87.64,1482.87,249.11,,1731.98,237.14,V03,False,Contract,
CR-20220217-MH_A-BISI,2022-02-17,MH_A,Bisi Bele Bath,Lentil,40.25,101.77,4096.24,373.81,124.7,4594.75,483.14,V09,False,Contract,
CR-20220217-MH_B-DUM,"February 17, 2022",MH_B,Dum Aloo,Potato,23.25,16.59,385.72,283.32,194.96,864.0,289.61,V05,False,Contract,A
CR-20220217-MH_B-CHIC,"February 17, 2022",MH_B,Chicken Biryani,Chicken,23.68,0.0,6340.32,,,6340.32,1692.67,V04,False,Spot_Market,B
CR-20220217-MH_B-EGG,"February 17, 2022",MH_B,Egg Bhurji,Egg,42.41,9.85,417.74,346.89,,764.63,200.39,V11,False,Direct_Farm,
CR-20220217-MH_B-CHOL,2022-02-17,MH_B,Chole Bhature,Chickpea,18.06,118.3,2136.5,248.03,144.88,2529.41,559.55,V05,False,Spot_Market,B
CR-20220217-MH_B-CHIC,"February 17, 2022",MH_B,Chicken Masala,Chicken,21.54,296.89,,652.64,177.58,7225.23,2481.51,V01,False,Contract,C
CR-20220217-MH_G-TEA,17/02/2022,MH_G,Tea,Tea Leaves,3.17,271.82,861.67,630.45,124.17,1616.29,199.82,V06,False,Contract,
CR-20220217-MH_G-ALOO,2022-02-17,MH_G,Aloo Paratha,Potato,32.35,22.24,719.46,444.09,257.84,1421.39,354.05,V09,False,Contract,A
CR-20220217-MH_G-ALOO,17/02/2022,MH_G,Aloo Dum,Potato,49.89,37.96,1893.82,469.25,,2363.07,728.13,V07,False,Spot_Market,A
CR-20220217-MH_G-IDLI,"February 17, 2022",MH_G,Idli-Sambar,Rice,38.07,101.89,3878.95,537.04,213.83,4629.82,1502.11,V06,False,Spot_Market,A
CR-20220217-MH_G-PALA,2022-02-17,MH_G,Palak Paneer,Paneer,13.46,353.94,4764.03,683.97,122.84,5570.84,1058.98,V02,False,Contract,B
CR-20220218-MH_A-DUM,"February 18, 2022",MH_A,Dum Aloo,Potato,18.13,26.82,486.25,,,486.25,122.79,V07,False,Contract,A
CR-20220218-MH_A-KHIC,"February 18, 2022",MH_A,Khichdi,Rice,58.13,106.85,6211.19,632.93,160.97,7005.09,2001.63,V11,False,Spot_Market,
CR-20220218-MH_B-PRAW,"February 18, 2022",MH_B,Prawn Masala,Prawn,20.93,484.32,10136.82,,271.74,10408.56,1365.93,V01,False,Contract,C
CR-20220218-MH_B-DAL,2022-02-18,MH_B,Dal Tadka,Dal,48.13,111.02,5343.39,751.85,151.57,6246.81,1850.56,V08,False,Spot_Market,B
CR-20220218-MH_G-UPMA,"February 18, 2022",MH_G,Upma,Semolina,38.24,72.06,2755.57,600.09,196.89,3552.55,1154.0,V08,False,Direct_Farm,C
CR-20220218-MH_G-ALOO,18/02/2022,MH_G,Aloo Gobi,Potato,14.43,19.32,278.79,,92.3,371.09,87.89,V10,False,Spot_Market,
CR-20220219-MH_A-CHIC,2022-02-19,MH_A,Chicken Masala,Chicken,22.75,217.56,4949.49,569.46,,5518.95,1789.04,V10,False,Contract,C
CR-20220219-MH_A-EGG,2022-02-19,MH_A,Egg Fried Rice,Egg,24.24,9.47,229.55,,159.08,388.63,128.91,V01,False,Spot_Market,
CR-20220219-MH_A-CHIC,"February 19, 2022",MH_A,Chicken Soup,Chicken,13.68,274.16,3750.51,,243.89,3994.4,673.76,V08,False,Spot_Market,
CR-20220219-MH_B-ALOO,2022-02-19,MH_B,Aloo Paratha,Potato,19.34,46.54,900.08,,,900.08,133.9,V05,False,Contract,B
CR-20220219-MH_B-BISI,2022-02-19,MH_B,Bisi Bele Bath,Lentil,26.01,98.65,2565.89,,,2565.89,490.11,V11,False,Contract,B
CR-20220219-MH_B-VEGE,"February 19, 2022",MH_B,Vegetable Soup,Mixed Vegetables,41.7,42.95,1791.02,286.09,65.15,2142.26,502.45,V12,False,Contract,C
CR-20220219-MH_G-RAVA,2022-02-19,MH_G,Rava Idli,Semolina,26.21,50.72,1329.37,584.45,103.8,2017.62,224.23,V07,False,Spot_Market,C
CR-20220219-MH_G-FRUI,"February 19, 2022",MH_G,Fruit Plate,Fruits,35.9,129.43,4646.54,420.18,183.84,5250.56,1641.92,V07,False,Spot_Market,B
CR-20220219-MH_G-FISH,19/02/2022,MH_G,Fish Fry,Fish,29.8,253.75,7561.75,200.22,164.62,7926.59,2295.7,V12,False,Spot_Market,A
CR-20220220-MH_A-KHIC,20/02/2022,MH_A,Khichdi,Rice,26.21,66.56,1744.54,216.88,267.02,2228.44,253.63,V06,False,Spot_Market,
CR-20220220-MH_A-SAMO,2022-02-20,MH_A,Samosa,Potato,35.7,34.02,,282.99,55.44,1552.94,303.53,V11,False,Contract,C
CR-20220220-MH_B-BISI,2022-02-20,MH_B,Bisi Bele Bath,Lentil,20.29,120.68,2448.6,529.2,,2977.8,940.78,V05,False,Spot_Market,B
CR-20220220-MH_B-BOIL,2022-02-20,MH_B,Boiled Eggs,Egg,44.03,7.23,318.34,,136.19,454.53,157.81,V03,False,Contract,B
CR-20220220-MH_G-UPMA,2022-02-20,MH_G,Upma,Semolina,70.48,48.71,3433.08,,,3433.08,999.99,V01,False,Contract,B
CR-20220220-MH_G-FISH,2022-02-20,MH_G,Fish Fry,Fish,14.76,314.21,4637.74,519.25,,5156.99,1101.88,V10,False,Spot_Market,A
CR-20220221-MH_A-FISH,2022-02-21,MH_A,Fish Fry,Fish,13.15,392.28,5158.48,359.89,,5518.37,1849.23,V02,False,Contract,A
CR-20220221-MH_A-DAL,2022-02-21,MH_A,Dal Fry,Dal,20.79,124.17,2581.49,680.78,212.03,3474.3,722.2,V01,False,Contract,
CR-20220221-MH_A-PALA,"February 21, 2022",MH_A,Palak Paneer,Paneer,34.78,361.07,12558.01,673.89,95.62,13327.52,2029.06,V06,False,Spot_Market,
CR-20220221-MH_A-BREA,"February 21, 2022",MH_A,Bread-Butter,Bread,39.3,97.84,3845.11,719.37,289.85,4854.33,1545.92,V12,False,Contract,A
CR-20220221-MH_A-POHA,21/02/2022,MH_A,Poha,Flattened Rice,75.41,81.34,6133.85,636.74,166.17,6936.76,1659.53,V04,False,Direct_Farm,C
CR-20220221-MH_A-SAMO,2022-02-21,MH_A,Samosa,Potato,22.99,26.16,601.42,,,601.42,109.07,V02,False,Spot_Market,B
CR-20220221-MH_B-KHIC,2022-02-21,MH_B,Khichdi,Rice,51.3,76.49,3923.94,241.77,260.15,4425.86,1342.66,V03,False,Contract,B
CR-20220221-MH_B-KHEE,"February 21, 2022",MH_B,Kheer,Milk,14.21,55.67,791.07,616.84,212.22,1620.13,178.13,V06,False,Spot_Market,C
CR-20220221-MH_B-EGG,2022-02-21,MH_B,Egg Bhurji,Egg,20.69,7.79,161.18,510.42,,671.6,73.45,V02,False,Spot_Market,
CR-20220221-MH_B-UPMA,21/02/2022,MH_B,Upma,Semolina,17.62,59.96,1056.5,450.27,163.91,1670.68,319.11,V09,False,Contract,C
CR-20220221-MH_B-RAVA,"February 21, 2022",MH_B,Rava Idli,Semolina,57.98,43.15,2501.84,369.03,274.09,3144.96,608.74,V03,False,Contract,A
CR-20220221-MH_B-BOIL,2022-02-21,MH_B,Boiled Eggs,Egg,56.93,11.96,680.88,,137.87,818.75,251.96,V09,False,Contract,A
CR-20220221-MH_G-PANE,21/02/2022,MH_G,Paneer Curry,Paneer,28.52,379.78,10831.33,297.98,191.81,11321.12,2590.23,V11,False,Contract,B
CR-20220221-MH_G-KHEE,2022-02-21,MH_G,Kheer,Milk,35.6,67.64,2407.98,356.07,,2764.05,863.31,V06,False,Spot_Market,A
CR-20220221-MH_G-KHIC,2022-02-21,MH_G,Khichdi,Rice,78.3,71.69,5613.33,200.67,88.71,5902.71,720.74,V07,False,Contract,C
CR-20220221-MH_G-CHAN,2022-02-21,MH_G,Chana Masala,Chickpea,37.58,86.01,3232.26,349.3,93.57,3675.13,1239.07,V03,False,Contract,A
CR-20220221-MH_G-ALOO,2022-02-21,MH_G,Aloo Dum,Potato,43.53,24.77,1078.24,672.29,284.46,2034.99,643.36,V02,False,Spot_Market,B
CR-20220221-MH_G-ALOO,21/02/2022,MH_G,Aloo Gobi,Potato,31.14,28.17,877.21,,266.13,1143.34,258.7,V03,False,Spot_Market,A
CR-20220222-MH_A-RAJM,22/02/2022,MH_A,Rajma Rice,Rajma,13.83,166.37,2300.9,614.16,,2915.06,705.97,V03,False,Spot_Market,C
CR-20220222-MH_A-PRAW,"February 22, 2022",MH_A,Prawn Masala,Prawn,12.63,534.41,6749.6,,,6749.6,1742.91,V03,False,Direct_Farm,
CR-20220222-MH_A-CHIC,22/02/2022,MH_A,Chicken Biryani,Chicken,14.41,256.32,,714.56,122.17,4530.3,669.33,V01,False,Contract,A
CR-20220222-MH_B-EGG,2022-02-22,MH_B,Egg Fried Rice,Egg,31.0,10.6,328.6,259.74,215.57,803.91,258.0,V10,False,Contract,
CR-20220222-MH_B-CHIC,2022-02-22,MH_B,Chicken Biryani,Chicken,16.98,253.05,,735.67,,5032.46,863.3,V10,False,Contract,C
CR-20220222-MH_B-BAIN,2022-02-22,MH_B,Baingan Bharta,Brinjal,17.51,45.75,,,222.96,1024.04,241.79,V12,False,Spot_Market,A
CR-20220222-MH_G-UPMA,2022-02-22,MH_G,Upma,Semolina,30.85,50.54,1559.16,,198.5,1757.66,399.89,V06,False,Contract,A
CR-20220222-MH_G-PURI,2022-02-22,MH_G,Puri-Sabzi,Wheat,15.01,41.33,620.36,242.15,69.42,931.93,148.51,V09,False,Spot_Market,A
CR-20220222-MH_G-DAL,2022-02-22,MH_G,Dal Tadka,Dal,64.62,130.24,8416.11,268.06,159.89,8844.06,3076.54,V08,False,Contract,B
CR-20220223-MH_A-UPMA,2022-02-23,MH_A,Upma,Semolina,73.98,69.71,5157.15,339.39,171.47,5668.01,838.37,V06,False,Spot_Market,
CR-20220223-MH_A-BREA,2022-02-23,MH_A,Bread-Omelette,Egg,63.03,12.75,803.63,201.99,114.84,1120.46,162.76,V02,False,Spot_Market,C
CR-20220223-MH_A-BHEL,2022-02-23,MH_A,Bhel Puri,Puffed Rice,40.67,47.48,1931.01,523.53,227.45,2681.99,389.02,V03,False,Spot_Market,B
CR-20220223-MH_A-PALA,2022-02-23,MH_A,Palak Paneer,Paneer,47.79,351.85,16814.91,450.83,84.43,17350.17,4995.54,V06,False,Contract,B
CR-20220223-MH_A-KEEM,23/02/2022,MH_A,Keema Matar,Mutton,25.71,560.41,14408.14,321.63,115.45,14845.22,2205.24,V06,False,Spot_Market,
CR-20220223-MH_A-ROTI,23/02/2022,MH_A,Roti-Sabzi,Wheat,46.48,62.25,2893.38,512.86,133.75,3539.99,727.56,V05,False,Contract,A
CR-20220223-MH_B-CHAN,2022-02-23,MH_B,Chana Masala,Chickpea,11.47,76.17,873.67,,205.25,1078.92,321.41,V02,False,Contract,
CR-20220223-MH_B-PALA,23/02/2022,MH_B,Palak Paneer,Paneer,64.48,382.78,24681.65,466.24,,25147.89,4675.35,V02,False,Spot_Market,A
